sent_id	id1	id2	out1	out2	label
333	1418	261	FEV 1 (% predicted) in the two groups at 1, 5, 15, 30, 60 min after administration of the study drug	FEV1 (% predicted)	1
480	1541	593	ETDRS visual acuity recorded in the laboratory, supplemented with a number of secondary lab-based visual function measures	visual acuity (VA) at normal illumination level	1
94	137	63	≥ Grade 2 (G2) toxicity incidence	An α/β ratio for late rectal toxicity	0
594	1707	533	CR	complete response for the whole period of nausea and vomiting	1
381	1454	35	the incidence of oxygen desaturations defined as a decrease in oxygen saturation ≥ 5%, assessed by continuous pulse oxymetry, at any time between the start of the induction sequence and two minutes after the completion of the intubation	severe oxygen desaturations	0
628	942	202	the EQ-5D utility	the mean treatment cost per patient	0
103	159	65	the mean change from pre-dose FEV 1 at 12 hours post dose	FEV 1	1
96	141	192	time to sit unsupported	total coma duration	0
460	1519	661	PASI-75	itching VAS	0
606	1719	704	the occurrence of any surgical-site infection within 30 days of surgery	The overall rate of surgical-site infection	1
89	136	790	the hands-on time during the first three minutes of the cardiac arrest	delayed their first defibrillation	0
41	62	584	weight gain after eight weeks	weight gain	1
171	1912	966	knowledge of labour analgesia, decisional conflict (uncertainty regarding analgesia decision) and anxiety	poor follow through between antenatal analgesia intentions and use	0
582	1671	182	the GSRS subscores for abdominal pain	GSRS abdominal pain subscore	1
518	1591	113	ICP control	Uncontrollable intracranial pressure	1
440	1852	633	(1) anti-malarial consumption recorded from routine statistics in ledger books of all HF before and after intervention; (2) anti-malarial prescription recorded during observed consultations in cross-sectional surveys conducted in all HF before and 18 months after m RDT implementation	anti-malarial prescription	0
598	913	248	instrumental birth	safe	0
154	1220	559	Total costs	RDQ	0
533	1617	177	the frequency of decision by the specialist to offer a follow-up outpatient appointment, patient satisfaction (Ware Specific Questionnaire), wellbeing (SF12) and enablement (PEI), numbers of tests, investigations, procedures and treatments	the patient selection criteria	0
164	1227	686	the ratio of expiratory time to reach PTEF to the total expiratory time	TEF10	0
202	343	968	change from baseline in body mass index (BMI)	body composition	0
516	796	618	the proportion of children achieving a well clinical response and time to a well clinical response	Mortality	0
147	221	532	a difference of ≥ 20% in the microvascular flow index of small vessels among groups	The proportions of perfused vessels	0
342	1423	358	differences in screening interest and patient test preferences between versions of the decision aid	screening interest	0
683	1816	851	disability	pain	0
